,StudentId,CGPA,Major Projects,Workshops/Certificatios,Mini Projects,Skills,Communication Skill Rating,Internship,Hackathon,12th Percentage,10th Percentage,backlogs,PlacementStatus
0,1,7.8,0,2,3,8,2.2,Yes,Yes,60.3,64.4,4,Placed
1,2,6.6,1,3,0,10,4.2,No,Yes,65.6,64.3,2,Placed
2,3,8.1,0,2,1,3,3.5,No,No,59.2,70.0,1,NotPlaced
3,4,8.3,2,3,0,6,3.0,Yes,No,65.4,76.0,0,NotPlaced
4,5,5.8,0,2,0,9,3.3,No,Yes,58.0,52.1,1,NotPlaced
5,6,6.4,1,1,3,7,4.3,Yes,Yes,60.4,64.8,4,NotPlaced
6,7,7.6,0,2,2,11,4.1,No,No,62.9,66.8,2,Placed
7,8,7.2,1,2,2,2,3.4,No,Yes,73.7,59.1,1,NotPlaced
8,9,7.5,0,1,1,2,2.6,Yes,No,71.3,62.8,0,Placed
9,10,6.8,0,0,0,9,2.6,Yes,Yes,56.2,73.2,0,Placed
10,11,8.2,0,3,2,10,4.1,No,Yes,95.7,67.6,3,Placed
11,12,8.2,1,3,1,6,2.5,No,Yes,66.6,68.3,1,Placed
12,13,7.6,0,0,1,8,3.4,No,No,59.0,59.6,4,NotPlaced
13,14,8.5,1,2,1,9,5.0,No,Yes,76.2,70.1,1,Placed
14,15,7.9,2,2,1,5,3.9,Yes,No,71.0,58.5,3,NotPlaced
15,16,6.8,1,1,3,5,4.1,Yes,Yes,63.7,85.1,0,Placed
16,17,7.8,0,3,2,8,2.7,Yes,No,74.5,87.7,0,Placed
17,18,6.7,1,3,0,10,2.5,No,Yes,64.9,67.7,1,NotPlaced
18,19,8.2,0,3,1,4,4.1,No,Yes,68.3,61.9,0,Placed
19,20,7.5,1,0,1,6,3.3,No,Yes,84.2,79.7,5,NotPlaced
20,21,7.3,1,1,1,6,4.4,Yes,No,72.1,77.3,3,Placed
21,22,6.9,2,0,3,8,3.6,No,Yes,76.5,88.9,1,Placed
22,23,8.5,0,2,1,7,5.0,Yes,Yes,66.3,91.3,1,Placed
23,24,7.4,1,2,1,5,3.1,Yes,No,72.4,53.8,2,NotPlaced
24,25,7.1,2,2,1,11,3.8,No,Yes,64.1,82.4,2,Placed
25,26,7.2,1,3,2,5,2.9,No,Yes,63.7,70.0,0,Placed
26,27,8.0,0,0,1,6,4.4,No,No,67.3,76.9,1,Placed
27,28,7.8,0,3,3,2,3.9,Yes,Yes,64.7,79.0,0,Placed
28,29,7.9,1,2,0,5,2.8,Yes,No,80.3,78.6,4,NotPlaced
29,30,7.9,1,3,1,9,3.3,Yes,Yes,76.2,81.0,1,Placed
30,31,9.3,0,1,3,8,4.7,Yes,Yes,50.4,67.0,2,Placed
31,32,7.2,2,1,1,9,4.6,No,No,86.5,63.4,4,NotPlaced
32,33,7.1,0,2,0,9,2.4,Yes,Yes,76.8,82.7,1,Placed
33,34,6.8,2,3,0,13,3.2,Yes,No,81.3,64.2,0,Placed
34,35,8.0,1,0,2,5,5.0,No,Yes,69.5,88.8,1,Placed
35,36,8.5,1,2,1,2,3.4,Yes,No,57.6,65.1,2,Placed
36,37,7.4,1,1,2,4,3.7,Yes,No,59.1,68.6,1,NotPlaced
37,38,6.8,0,1,2,5,4.4,Yes,Yes,86.4,70.3,0,Placed
38,39,6.8,1,2,2,4,2.5,Yes,Yes,56.4,58.1,0,NotPlaced
39,40,8.1,2,1,3,7,2.8,Yes,Yes,58.0,58.2,2,Placed
40,41,8.1,2,1,2,11,3.3,Yes,No,67.1,80.2,2,Placed
41,42,8.0,0,2,0,12,4.5,No,Yes,58.5,56.5,0,Placed
42,43,6.9,2,3,3,9,4.4,Yes,Yes,75.8,94.7,3,Placed
43,44,7.7,1,0,1,13,4.2,No,Yes,76.5,71.2,1,NotPlaced
44,45,7.6,1,1,2,6,3.5,Yes,Yes,74.7,62.7,0,Placed
45,46,7.7,2,2,1,2,4.5,Yes,Yes,65.5,75.8,1,Placed
46,47,8.2,0,3,0,10,3.5,Yes,No,73.6,50.0,2,NotPlaced
47,48,7.7,0,1,2,1,4.0,No,Yes,87.1,69.0,2,NotPlaced
48,49,8.1,1,1,2,5,4.3,Yes,No,58.1,70.2,1,Placed
49,50,7.6,1,0,3,9,4.9,Yes,Yes,81.1,60.6,1,Placed
50,51,7.7,1,1,1,7,3.5,No,Yes,78.3,66.3,1,Placed
51,52,8.0,1,2,2,6,3.3,No,Yes,70.1,85.7,1,Placed
52,53,6.3,2,1,1,3,4.6,Yes,Yes,72.5,73.6,1,Placed
53,54,7.2,0,2,1,7,4.7,Yes,Yes,74.2,75.6,1,Placed
54,55,7.1,2,1,1,10,3.1,Yes,Yes,62.2,64.9,1,Placed
55,56,7.0,0,1,1,7,2.7,No,Yes,56.3,60.1,0,Placed
56,57,7.3,2,2,2,5,4.6,Yes,No,79.2,69.8,1,Placed
57,58,8.8,1,2,2,3,2.3,Yes,Yes,59.8,50.0,0,Placed
58,59,6.8,2,3,2,5,2.2,Yes,No,61.2,62.1,2,NotPlaced
59,60,8.3,2,2,3,8,3.4,Yes,No,66.4,60.7,1,Placed
60,61,6.1,0,3,2,8,3.6,No,Yes,73.6,53.7,2,Placed
61,62,7.2,1,1,2,5,2.7,Yes,No,66.5,77.8,0,Placed
62,63,7.6,1,2,2,1,3.7,Yes,No,64.5,70.8,1,Placed
63,64,8.0,1,2,1,8,3.7,Yes,Yes,79.6,66.4,0,Placed
64,65,8.1,1,2,1,4,3.1,Yes,Yes,68.0,78.0,0,NotPlaced
65,66,8.2,1,1,3,9,5.0,No,No,63.8,57.2,3,Placed
66,67,7.2,1,1,1,5,3.8,No,Yes,74.6,59.9,0,Placed
67,68,7.1,1,2,1,4,4.4,Yes,Yes,71.5,82.1,0,Placed
68,69,8.2,0,2,0,7,2.3,Yes,Yes,71.3,92.5,1,Placed
69,70,7.3,1,2,0,14,2.3,No,Yes,75.0,78.2,1,NotPlaced
70,71,6.4,2,2,2,9,3.9,Yes,Yes,69.8,76.2,4,Placed
71,72,6.5,1,2,3,7,5.0,No,No,78.6,66.8,6,NotPlaced
72,73,6.7,1,1,2,8,2.7,Yes,Yes,58.1,67.0,1,Placed
73,74,7.9,0,3,2,2,3.6,No,Yes,82.2,74.0,0,Placed
74,75,7.6,2,2,3,4,2.5,Yes,Yes,62.8,84.4,1,Placed
75,76,8.1,0,0,1,1,2.9,Yes,Yes,56.3,75.8,1,NotPlaced
76,77,7.1,2,1,0,12,3.7,No,Yes,63.9,80.6,1,Placed
77,78,7.6,1,1,2,12,3.1,Yes,No,67.9,63.8,0,Placed
78,79,8.0,1,1,3,8,2.5,No,No,64.4,77.6,0,Placed
79,80,7.2,0,1,1,7,2.4,Yes,Yes,62.3,66.0,0,Placed
80,81,7.9,0,3,2,2,2.0,Yes,Yes,80.1,73.3,1,Placed
81,82,6.9,0,2,3,6,3.9,Yes,Yes,63.2,77.5,2,Placed
82,83,7.2,1,2,0,12,4.0,No,Yes,50.7,67.2,3,NotPlaced
83,84,7.2,1,3,1,7,4.0,No,Yes,67.8,62.8,0,Placed
84,85,6.5,1,1,1,5,2.8,Yes,No,89.4,75.3,3,NotPlaced
85,86,7.9,2,1,1,2,4.3,Yes,Yes,61.4,70.8,0,Placed
86,87,7.1,0,1,1,11,4.1,Yes,Yes,62.9,73.2,0,Placed
87,88,7.5,2,0,1,7,3.5,Yes,Yes,67.4,77.9,2,Placed
88,89,7.9,1,1,2,2,3.4,No,Yes,84.9,83.8,0,Placed
89,90,7.9,1,3,2,4,3.0,Yes,Yes,67.8,78.0,4,Placed
90,91,8.1,1,2,3,3,3.7,No,No,61.8,76.8,4,Placed
91,92,7.4,1,2,2,7,4.8,No,Yes,74.3,67.5,0,Placed
92,93,7.1,2,1,2,8,4.4,Yes,Yes,73.6,68.9,0,NotPlaced
93,94,7.4,0,2,1,5,3.3,Yes,Yes,75.4,76.1,0,Placed
94,95,6.1,1,2,0,9,3.9,No,No,61.4,68.7,4,NotPlaced
95,96,6.3,1,2,1,7,2.6,No,No,65.9,76.1,0,Placed
96,97,6.4,2,1,2,10,4.1,Yes,Yes,81.1,64.7,3,Placed
97,98,6.7,0,1,1,6,2.8,Yes,Yes,74.7,89.4,1,NotPlaced
98,99,7.8,1,1,2,15,4.1,No,Yes,78.3,73.7,2,Placed
99,100,6.7,1,2,2,5,5.0,Yes,Yes,70.5,73.2,0,Placed
100,101,7.2,1,0,1,4,3.0,No,Yes,80.5,67.7,3,NotPlaced
101,102,8.6,1,1,1,4,5.0,Yes,No,73.6,89.2,2,Placed
102,103,7.2,1,2,2,6,3.9,Yes,Yes,66.3,60.7,0,Placed
103,104,8.1,1,3,2,2,2.9,Yes,Yes,77.7,65.7,0,Placed
104,105,6.7,0,1,0,8,2.9,No,Yes,63.1,79.7,1,Placed
105,106,7.3,2,0,1,1,5.0,Yes,No,84.9,74.2,2,NotPlaced
106,107,6.7,2,2,0,7,3.9,No,Yes,80.1,66.8,3,NotPlaced
107,108,7.2,0,0,1,3,3.0,Yes,Yes,68.4,67.1,1,NotPlaced
108,109,8.2,0,1,3,6,3.3,Yes,Yes,69.3,69.4,4,Placed
109,110,6.0,1,2,0,9,3.8,Yes,Yes,72.2,72.9,0,NotPlaced
110,111,7.9,1,3,1,14,3.5,No,No,69.4,86.0,3,NotPlaced
111,112,7.7,1,3,2,4,3.8,No,Yes,82.9,77.4,4,Placed
112,113,7.0,0,2,1,7,4.9,No,No,66.2,81.2,2,NotPlaced
113,114,6.3,1,3,1,5,2.6,No,No,57.5,68.1,5,NotPlaced
114,115,7.6,0,1,2,4,4.0,No,Yes,68.7,76.6,1,Placed
